,Hotels,Prices,Descriptions,Full_Descriptions
763,Glam Penthouse Barcelona,"€ 4,041","4 beds (2 singles, 1 double, 1 sofa bed)","Set in Barcelona, 1.6 km from Passeig de Gracia and 1.6 km from Passeig de Gracia Metro Station, Glam Penthouse Barcelona offers air-conditioned accommodation with a balcony and free WiFi. The property has garden and city views, and is 1.7 km from Magic Fountain of Montjuic. The property is non-smoking and is located 1.4 km from Casa Batllo.

The apartment with a terrace and mountain views features 2 bedrooms, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a walk-in shower. Towels and bed linen are featured in the apartment. The property has an outdoor dining area.

Popular points of interest near the apartment include Sants Railway Station, Plaça Catalunya and Boqueria Market. The nearest airport is Barcelona El Prat, 12 km from Glam Penthouse Barcelona, and the property offers a paid airport shuttle service."
764,Modern and bright apartment in Eixample 1-3,"€ 2,102","2 beds (1 double, 1 sofa bed)","Modern and bright apartment in Eixample 1-3 has a patio and is located in Barcelona, within just 1.2 km of Magic Fountain of Montjuic and 2 km of Casa Batllo. It is set 2.6 km from Passeig de Gracia and provides a lift. The property is non-smoking and is situated 1.1 km from Sants Railway Station.

With free WiFi, this 1-bedroom apartment features a TV, a washing machine and a fully equipped kitchen with an oven and microwave. For added privacy, the accommodation features a private entrance.

Plaça Catalunya is 2.6 km from the apartment, while Passeig de Gracia Metro Station is 2.7 km from the property. The nearest airport is Barcelona El Prat Airport, 11 km from Modern and bright apartment in Eixample 1-3."
765,Montjuic1,"€ 2,761","3 beds (2 singles, 1 double)","Set in Barcelona, 300 metres from Magic Fountain of Montjuic and 1.5 km from Palau Sant Jordi, Montjuic1 offers air-conditioned accommodation with a terrace and free WiFi. This sustainable apartment is located 1.5 km from Sants Railway Station and 3 km from Passeig de Gracia. The property is non-smoking and is situated 3.1 km from Plaça Catalunya.

The spacious apartment has 2 bedrooms, a flat-screen TV, a fully equipped kitchen with a dishwasher and an oven, a washing machine, and 1 bathroom with a bath. This apartment also features a balcony that doubles up as an outdoor dining area.

Boqueria Market is 3.4 km from the apartment, while Portal de l'Angel is 3.8 km from the property. The nearest airport is Barcelona El Prat Airport, 10 km from Montjuic1."
766,Habitat Apartments Ribes,"€ 3,198","3 beds (2 singles, 1 large double)","Located in Barcelona, 2.1 km from Nova Icaria Beach and 2.3 km from Barceloneta Beach, Habitat Apartments Ribes offers air conditioning. It is situated 1.1 km from Picasso Museum and provides a lift. Free WiFi is available throughout the property and Somorrostro Beach is 2 km away.

The spacious apartment is equipped with 2 separate bedrooms, 1 bathroom, a fully equipped kitchen with a dining area and oven, and a living room with a flat-screen TV. Towels and bed linen are provided in the apartment. The accommodation is non-smoking.

Popular points of interest near the apartment include Palau de la Musica Catalana, Tivoli Theatre and Portal de l'Angel. The nearest airport is Barcelona El Prat, 14 km from Habitat Apartments Ribes, and the property offers a paid airport shuttle service."
767,3BD with private terrace right by Sagrada Familia,"€ 3,567","4 beds (2 singles, 1 double, 1 bunk bed)","Boasting air-conditioned accommodation with a patio, 3BD with private terrace right by Sagrada Familia is set in Barcelona. It is located 400 metres from Sagrada Familia and features a lift. The property is non-smoking and is situated 2.9 km from Nova Icaria Beach.

With free WiFi, this 3-bedroom apartment offers a TV, a washing machine and a fully equipped kitchen with an oven and microwave. For added privacy, the accommodation features a private entrance.

Popular points of interest near the apartment include La Pedrera, Casa Batllo and Passeig de Gracia. The nearest airport is Barcelona El Prat Airport, 15 km from 3BD with private terrace right by Sagrada Familia."
768,Modern apartment close to the Camp Nou Stadium,"€ 3,101","5 beds (3 singles, 2 doubles)","Boasting air-conditioned accommodation with a balcony, Modern apartment close to the Camp Nou Stadium is situated in Barcelona. It is located 1.1 km from Camp Nou and features a lift. The apartment also offers facilities for disabled guests.

The spacious apartment has 4 bedrooms, a flat-screen TV and a fully equipped kitchen that provides guests with an oven, a microwave, a washing machine and a fridge. Towels and bed linen are offered in the apartment. The accommodation is non-smoking.

Sants Railway Station is 1.6 km from the apartment, while Magic Fountain of Montjuic is 3 km from the property. The nearest airport is Barcelona El Prat, 11 km from Modern apartment close to the Camp Nou Stadium, and the property offers a paid airport shuttle service."
769,Eixample15,"€ 3,189","4 beds (2 singles, 1 double, 1 large double)","Eixample15 features a balcony and is set in Barcelona, within just 1.6 km of Passeig de Gracia and 1.7 km of Passeig de Gracia Metro Station. It is situated 1.8 km from Sants Railway Station and offers a lift. Free WiFi is available throughout the property and Magic Fountain of Montjuic is 1.2 km away.

The spacious apartment is composed of 3 bedrooms, a living room, a fully equipped kitchen, and 1 bathroom. Towels and bed linen are featured in the apartment. The accommodation is non-smoking.

Popular points of interest near the apartment include Plaça Catalunya, Casa Batllo and Boqueria Market. The nearest airport is Barcelona El Prat Airport, 11 km from Eixample15."
770,Eixample 6,"€ 3,026","3 beds (2 singles, 1 double)","Set in Barcelona, 1.7 km from Passeig de Gracia and 1.5 km from Magic Fountain of Montjuic, Eixample 6 offers air-conditioned accommodation with a balcony and free WiFi. It is located 1.7 km from Passeig de Gracia Metro Station and provides a lift. Outdoor dining is also possible at the apartment.

The spacious apartment comes with 2 bedrooms, 1 bathroom, bed linen, towels, a TV with cable channels, a dining area, a fully equipped kitchen, and a terrace with city views. This apartment is allergy-free and non-smoking.

Popular points of interest near Eixample 6 include Sants Railway Station, Casa Batllo and Plaça Catalunya. The nearest airport is Barcelona El Prat Airport, 12 km from the accommodation."
771,GuestReady - Bright home near Montjuïc,"€ 1,387","3 beds (2 singles, 1 sofa bed)","GuestReady - Bright home near Montjuïc is set in the Sants-Montjuïc district of Barcelona, 2 km from Plaça Catalunya, 1.9 km from Palau Sant Jordi and 1.4 km from Boqueria Market. It is situated 2.9 km from Santa Maria del Mar and features a lift. Free WiFi is available throughout the property and Magic Fountain of Montjuic is 1.3 km away.

The 1-bedroom apartment has a living room with a flat-screen TV with cable channels, a fully equipped kitchen with an oven and a microwave, and 1 bathroom with a hair dryer. Towels and bed linen are offered in the apartment. For added privacy, the accommodation features a private entrance.

Popular points of interest near the apartment include Montjuïc, Portal de l'Angel and Cathedral of Barcelona. The nearest airport is Barcelona El Prat Airport, 11 km from GuestReady - Bright home near Montjuïc."
772,Murillo 18,"€ 2,256","2 beds (1 double, 1 bunk bed)","Murillo 18 is located in the Sants-Montjuïc district of Barcelona, 1.8 km from Palau Sant Jordi, 3.4 km from Passeig de Gracia and 3.4 km from Plaça Catalunya. The property is around 3.7 km from Tivoli Theatre, 3.9 km from Cathedral of Barcelona and 4 km from Portal de l'Angel. Free WiFi is available throughout the property and Magic Fountain of Montjuic is less than 1 km away.

The apartment features 2 bedrooms, a TV, a fully equipped kitchen with an oven and a microwave, a washing machine, and 2 bathrooms with a bath. Towels and bed linen are provided in the apartment. The accommodation is non-smoking.

Popular points of interest near the apartment include Montjuïc, Boqueria Market and Plaça Reial. The nearest airport is Barcelona El Prat Airport, 12 km from Murillo 18."
773,Apartment Barcelona Rentals - Sarria Apartments Near Center,"€ 3,115","3 beds (2 singles, 1 double)","Set within 2.9 km of La Pedrera and 3 km of Park Güell in Barcelona, Apartment Barcelona Rentals - Sarria Apartments Near Center offers accommodation with seating area. Free WiFi is featured throughout the property and private parking is available on site. The apartment features family rooms.

The apartment complex will provide guests with air-conditioned units offering a wardrobe, a coffee machine, a dishwasher, an oven, a safety deposit box, a flat-screen TV, a balcony and a private bathroom with a bidet. There is also a dining area and a fully equipped kitchen equipped with a microwave, a toaster, and a fridge. At the apartment complex, the units come with bed linen and towels.

Camp Nou is 3.1 km from the apartment, while Casa Batllo is 3.2 km away. The nearest airport is Barcelona El Prat, 13 km from Apartment Barcelona Rentals - Sarria Apartments Near Center, and the property offers a paid airport shuttle service."
774,Amazing 3 bedroom penthouse in Plaza España,"€ 4,205","5 beds (2 singles, 2 doubles, 1 sofa bed)","Featuring air-conditioned accommodation with a patio, Amazing 3 bedroom penthouse in Plaza España is located in Barcelona. It is set 1.2 km from Sants Railway Station and features a lift. The property is non-smoking and is situated less than 1 km from Magic Fountain of Montjuic.

With free WiFi, this 3-bedroom apartment provides a TV, a washing machine and a fully equipped kitchen with a dishwasher and oven. For added privacy, the accommodation features a private entrance.

Passeig de Gracia is 2.3 km from the apartment, while Passeig de Gracia Metro Station is 2.4 km away. The nearest airport is Barcelona El Prat Airport, 11 km from Amazing 3 bedroom penthouse in Plaza España."
775,City View Penthouse - 2 Bedroom Suite,"€ 2,655","2 beds (1 single, 1 double)","Set in Barcelona, 1.8 km from Nova Icaria Beach and 1.9 km from Bogatell Beach, City View Penthouse - 2 Bedroom Suite offers air-conditioned accommodation with a patio and free WiFi. It is situated 2.4 km from Mar Bella Beach and provides a lift. The property is non-smoking and is located 2.3 km from Somorrostro Beach.

The spacious apartment is fitted with 2 bedrooms, a TV and a fully equipped kitchen that provides guests with an oven, a microwave, a washing machine, a fridge and a stovetop.

Barceloneta Beach is 2.7 km from the apartment, while Sagrada Familia is 1.5 km from the property. The nearest airport is Barcelona El Prat Airport, 15 km from City View Penthouse - 2 Bedroom Suite."
776,Modern and bright apartment in Eixample 5-2,"€ 2,352","4 beds (2 singles, 1 double, 1 sofa bed)","Modern and bright apartment in Eixample 5-2 is set in the Eixample district of Barcelona, 2 km from Casa Batllo, 2.6 km from Passeig de Gracia and 2.6 km from Plaça Catalunya. It is located 1.2 km from Magic Fountain of Montjuic and provides a lift. Free WiFi is available throughout the property and Sants Railway Station is 1.1 km away.

The spacious apartment features a patio, 2 bedrooms, a living room and a well-equipped kitchen with an oven and a microwave. A TV is provided. For added privacy, the accommodation features a private entrance.

Passeig de Gracia Metro Station is 2.7 km from the apartment, while La Pedrera is 2.8 km away. The nearest airport is Barcelona El Prat Airport, 11 km from Modern and bright apartment in Eixample 5-2."
